"created per month",filters,filters,Count
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1603.total",93
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1604.total",78
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1605.total",75
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1606.total",75
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1607.total",82
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1608.total",72
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1609.total",46
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1610.total",64
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1611.total",51
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1612.total",31
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1701.total",83
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1702.total",70
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1703.total",77
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1704.total",74
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1705.total",75
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1706.total",67
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1707.total",61
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1708.total",57
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1709.total",59
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1710.total",63
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1711.total",52
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1712.total",52
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1801.total",46
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1802.total",44
"2015-01-01 00:00:00","first_app:topface AND platform:ok","*","461,888"
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1501.total","1,923"
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1502.total","1,724"
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1503.total","1,338"
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1504.total",907
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1505.total",653
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1506.total",537
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1507.total",466
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1508.total",373
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1509.total",337
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1510.total",270
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1511.total",216
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1512.total",226
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1601.total",202
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1602.total",144
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1603.total",131
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1604.total",99
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1605.total",77
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1606.total",61
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1607.total",78
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1608.total",65
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1609.total",64
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1610.total",39
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1611.total",41
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1612.total",31
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1701.total",110
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1702.total",93
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1703.total",90
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1704.total",116
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1705.total",93
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1706.total",96
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1707.total",88
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1708.total",88
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1709.total",73
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1710.total",71
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1711.total",58
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1712.total",47
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1801.total",56
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1802.total",54
"2015-01-01 00:00:00","first_app:topface AND platform:fb","*","348,161"
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1501.total",492
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1502.total",348
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1503.total",254
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1504.total",226
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1505.total",207
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1506.total",160
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1507.total",155
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1508.total",136
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1509.total",114
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1510.total",104
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1511.total",103
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1512.total",110
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1601.total",95
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1602.total",82
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1603.total",62
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1604.total",58
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1605.total",51
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1606.total",46
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1607.total",46
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1608.total",45
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1609.total",39
