"created per month",filters,filters,Count
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1704.total",2
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1705.total",3
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1706.total",3
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1707.total",4
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1708.total",4
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1709.total",2
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1710.total",2
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1711.total",1
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1712.total",1
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1801.total",1
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1802.total",1
"2015-01-01 00:00:00","first_app:topfacemobappios","_exists_:revenue_in_month.1803.total",1
"2015-01-01 00:00:00","first_app:standalonetf","*","85,204"
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1501.total",40
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1502.total",29
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1503.total",22
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1504.total",12
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1505.total",10
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1506.total",9
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1507.total",9
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1508.total",5
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1509.total",4
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1510.total",2
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1511.total",6
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1512.total",4
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1601.total",5
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1602.total",7
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1603.total",7
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1604.total",7
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1605.total",7
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1606.total",8
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1607.total",7
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1608.total",10
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1609.total",8
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1610.total",6
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1611.total",3
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1612.total",7
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1701.total",2
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1702.total",3
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1703.total",3
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1704.total",3
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1705.total",5
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1706.total",2
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1707.total",2
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1708.total",2
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1709.total",3
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1710.total",7
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1711.total",6
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1712.total",2
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1801.total",5
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1802.total",3
"2015-01-01 00:00:00","first_app:standalonetf","_exists_:revenue_in_month.1803.total",4
"2015-01-01 00:00:00","first_app:topface AND platform:vk","*",178
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1501.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1502.total",3
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1503.total",3
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1504.total",2
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1505.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1506.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1507.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1508.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1509.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1510.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1511.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1512.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1601.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1602.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1603.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1604.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1605.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1606.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1607.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1608.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1609.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1610.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1611.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1612.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1701.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1702.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1703.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1704.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1705.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1706.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1707.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1708.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1709.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1710.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1711.total",1
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1712.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1801.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1802.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:vk","_exists_:revenue_in_month.1803.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:ok","*","95,645"
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1501.total","1,173"
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1502.total",952
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1503.total",740
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1504.total",464
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1505.total",367
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1506.total",280
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1507.total",297
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1508.total",230
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1509.total",221
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1510.total",183
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1511.total",151
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1512.total",140
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1601.total",116
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1602.total",76
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1603.total",66
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1604.total",55
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1605.total",41
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1606.total",41
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1607.total",43
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1608.total",40
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1609.total",53
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1610.total",27
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1611.total",27
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1612.total",25
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1701.total",43
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1702.total",48
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1703.total",49
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1704.total",44
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1705.total",45
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1706.total",38
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1707.total",43
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1708.total",31
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1709.total",38
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1710.total",39
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1711.total",29
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1712.total",34
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1801.total",29
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1802.total",28
"2015-01-01 00:00:00","first_app:topface AND platform:ok","_exists_:revenue_in_month.1803.total",30
"2015-01-01 00:00:00","first_app:topface AND platform:fb","*",14
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1501.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1502.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1503.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1504.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1505.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1506.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1507.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1508.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1509.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1510.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1511.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1512.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1601.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1602.total",0
"2015-01-01 00:00:00","first_app:topface AND platform:fb","_exists_:revenue_in_month.1603.total",0
