"created per day",filters,"country: Descending",Count
"2017-12-01 00:00:00","first_app:topfacemobappandroid",DK,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",FI,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GA,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GE,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GR,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",HT,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IE,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LU,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",NZ,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",OM,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PA,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PE,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SN,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TH,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",TM,2
"2017-12-01 00:00:00","first_app:topfacemobappandroid",AD,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BA,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BF,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BH,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",BT,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CG,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",CN,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",EE,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ET,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",FJ,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GD,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GM,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GQ,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",GU,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",HN,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",HU,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",IQ,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",JM,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",JP,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LI,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LT,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",LY,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ME,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MK,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",MT,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PR,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",PS,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",RW,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SD,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SI,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",SK,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",UG,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",YE,1
"2017-12-01 00:00:00","first_app:topfacemobappandroid",ZM,1
"2017-12-01 00:00:00","first_app:topfacemobappios",RU,516
"2017-12-01 00:00:00","first_app:topfacemobappios",US,165
"2017-12-01 00:00:00","first_app:topfacemobappios",TR,127
"2017-12-01 00:00:00","first_app:topfacemobappios",UA,91
"2017-12-01 00:00:00","first_app:topfacemobappios",KZ,50
"2017-12-01 00:00:00","first_app:topfacemobappios",IN,44
"2017-12-01 00:00:00","first_app:topfacemobappios",MX,28
