"created per day",filters,filters,Count
"2017-09-01 00:00:00","referral:0","first_app:topfacemobappandroid","3,394"
"2017-09-01 00:00:00","referral:0","first_app:topfacemobappios","1,380"
"2017-09-01 00:00:00","referral:1","first_app:topfacemobappandroid","5,097"
"2017-09-01 00:00:00","referral:1","first_app:topfacemobappios","1,016"
"2017-09-02 00:00:00","referral:0","first_app:topfacemobappandroid","3,956"
"2017-09-02 00:00:00","referral:0","first_app:topfacemobappios","1,620"
"2017-09-02 00:00:00","referral:1","first_app:topfacemobappandroid","6,487"
"2017-09-02 00:00:00","referral:1","first_app:topfacemobappios","1,271"
"2017-09-03 00:00:00","referral:0","first_app:topfacemobappandroid","4,742"
"2017-09-03 00:00:00","referral:0","first_app:topfacemobappios","1,795"
"2017-09-03 00:00:00","referral:1","first_app:topfacemobappandroid","10,352"
"2017-09-03 00:00:00","referral:1","first_app:topfacemobappios","1,788"
"2017-09-04 00:00:00","referral:0","first_app:topfacemobappandroid","4,424"
"2017-09-04 00:00:00","referral:0","first_app:topfacemobappios","1,765"
"2017-09-04 00:00:00","referral:1","first_app:topfacemobappandroid","8,953"
"2017-09-04 00:00:00","referral:1","first_app:topfacemobappios","1,837"
"2017-09-05 00:00:00","referral:0","first_app:topfacemobappandroid","4,476"
"2017-09-05 00:00:00","referral:0","first_app:topfacemobappios","1,772"
"2017-09-05 00:00:00","referral:1","first_app:topfacemobappandroid","7,830"
"2017-09-05 00:00:00","referral:1","first_app:topfacemobappios","1,313"
"2017-09-06 00:00:00","referral:0","first_app:topfacemobappandroid","4,706"
"2017-09-06 00:00:00","referral:0","first_app:topfacemobappios","1,689"
"2017-09-06 00:00:00","referral:1","first_app:topfacemobappandroid","9,381"
"2017-09-06 00:00:00","referral:1","first_app:topfacemobappios","1,179"
"2017-09-07 00:00:00","referral:0","first_app:topfacemobappandroid","5,234"
"2017-09-07 00:00:00","referral:0","first_app:topfacemobappios","1,600"
"2017-09-07 00:00:00","referral:1","first_app:topfacemobappandroid","12,998"
"2017-09-07 00:00:00","referral:1","first_app:topfacemobappios","1,206"
"2017-09-08 00:00:00","referral:0","first_app:topfacemobappandroid","4,359"
"2017-09-08 00:00:00","referral:0","first_app:topfacemobappios","1,501"
"2017-09-08 00:00:00","referral:1","first_app:topfacemobappandroid","8,221"
"2017-09-08 00:00:00","referral:1","first_app:topfacemobappios",900
"2017-09-09 00:00:00","referral:0","first_app:topfacemobappandroid","4,316"
"2017-09-09 00:00:00","referral:0","first_app:topfacemobappios","1,570"
"2017-09-09 00:00:00","referral:1","first_app:topfacemobappandroid","7,957"
"2017-09-09 00:00:00","referral:1","first_app:topfacemobappios",932
"2017-09-10 00:00:00","referral:0","first_app:topfacemobappandroid","4,959"
"2017-09-10 00:00:00","referral:0","first_app:topfacemobappios","1,704"
"2017-09-10 00:00:00","referral:1","first_app:topfacemobappandroid","10,084"
"2017-09-10 00:00:00","referral:1","first_app:topfacemobappios","1,177"
"2017-09-11 00:00:00","referral:0","first_app:topfacemobappandroid","4,766"
"2017-09-11 00:00:00","referral:0","first_app:topfacemobappios","1,587"
"2017-09-11 00:00:00","referral:1","first_app:topfacemobappandroid","9,863"
"2017-09-11 00:00:00","referral:1","first_app:topfacemobappios","1,240"
"2017-09-12 00:00:00","referral:0","first_app:topfacemobappandroid","4,289"
"2017-09-12 00:00:00","referral:0","first_app:topfacemobappios","1,587"
"2017-09-12 00:00:00","referral:1","first_app:topfacemobappandroid","7,564"
"2017-09-12 00:00:00","referral:1","first_app:topfacemobappios",805
"2017-09-13 00:00:00","referral:0","first_app:topfacemobappandroid","3,876"
"2017-09-13 00:00:00","referral:0","first_app:topfacemobappios","1,482"
"2017-09-13 00:00:00","referral:1","first_app:topfacemobappandroid","4,583"
"2017-09-13 00:00:00","referral:1","first_app:topfacemobappios",769
"2017-09-14 00:00:00","referral:0","first_app:topfacemobappandroid","3,948"
"2017-09-14 00:00:00","referral:0","first_app:topfacemobappios","1,399"
