"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app"
,,,118308536,"2018-05-02 14:18:33",2,"2018-05-09 14:33:01",877,613,147,"Деньги от Google Play",fb,PopularUserBlockDialog,US,topfacemobappandroid
,,,117996618,"2018-04-18 16:59:40",1,"2018-05-03 18:48:58",799,559,147,"Деньги от Google Play",fb,LeftMenu,OM,topfacemobappandroid
,,,117976297,"2018-04-17 22:46:17",1,"2018-04-18 00:04:40",91,63,146,"Деньги от Google Play",fb,Menu,RU,topfacemobappandroid
,,,117905088,"2018-04-15 13:52:13",3,"2018-04-25 16:51:19",283,275,147,"Деньги от Payment Ninja",fb,Visitors,RU,topfacemobappandroid
,,,118404744,"2018-05-05 16:26:01",3,"2018-05-05 16:33:52",94,91,19,"Деньги от Payment Ninja",fb,Menu,US,topfacemobappandroid
,,,118408981,"2018-05-05 19:26:00",3,"2018-05-08 21:27:09",1693,1185,147,"Деньги от Google Play",fb,TrialVipPopup,PK,topfacemobappandroid
,,,118158974,"2018-04-26 10:17:45",1,"2018-05-10 12:06:21",999,969,147,"Деньги от Payment Ninja",fb,Visitors,TR,topfacemobappandroid
,,,118176736,"2018-04-27 02:42:56",1,"2018-04-27 02:45:36",558,390,147,"Деньги от Google Play",fb,LeftMenu,BY,topfacemobappandroid
,,,117808105,"2018-04-10 13:14:01",3,"2018-04-13 15:15:26",1218,852,147,"Деньги от Google Play",fb,TrialVipPopup,UA,topfacemobappandroid
8878,42,"2018-04-06 23:45:54",117686219,"2018-04-05 06:00:54",3,"2018-04-11 02:21:06",970,679,147,"Деньги от Google Play",fb,TrialVipPopup,TR,topfacemobappandroid
,,,118073726,"2018-04-22 06:37:00",1,"2018-04-22 13:56:17",287,278,147,"Деньги от Payment Ninja",fb,promo.key31,RU,topfacemobappandroid
,,,118087626,"2018-04-22 19:42:28",1,"2018-04-22 19:47:55",1080,1048,147,"Деньги от Payment Ninja",fb,LeftMenu,FR,topfacemobappandroid
,,,117823696,"2018-04-11 19:16:59",3,"2018-04-15 20:09:20",975,682,147,"Деньги от Google Play",fb,promo.key31,CZ,topfacemobappandroid
,,,117958604,"2018-04-17 11:56:03",1,"2018-04-17 12:18:05",1000,700,147,"Деньги от Google Play",fb,Visitors,US,topfacemobappandroid
,,,118646393,"2018-05-12 04:00:56",2,"2018-05-12 04:03:37",1033,723,147,"Деньги от Google Play",fb,Dating,TH,topfacemobappandroid
,,,118272979,"2018-05-01 03:56:34",14,"2018-05-06 22:01:12",160,112,67,"Деньги от Google Play",fb,Menu,TR,topfacemobappandroid
,,,117719357,"2018-04-06 22:46:35",47,"2018-04-08 10:29:12",53,37,19,"Деньги от Google Play",fb,Gifts,TR,topfacemobappandroid
,,,117920746,"2018-04-16 01:07:48",1,"2018-04-16 21:14:17",9808,9514,147,"Деньги от Payment Ninja",fb,LeftMenu,IT,topfacemobappandroid
,,,118212810,"2018-04-28 14:47:33",1,"2018-05-02 14:51:57",1004,702,147,"Деньги от Google Play",fb,Dating,BO,topfacemobappandroid
,,,117859415,"2018-04-13 14:37:46",2,"2018-04-30 15:48:56",510,174,68,"Деньги от PaymentWall (mobile)",fb,none,UA,topfacemobappandroid
