"created per day",filters,filters,Count
"2018-04-01 00:00:00","referral:0","platform:fb","1,756"
"2018-04-01 00:00:00","referral:0","NOT platform:fb","3,843"
"2018-04-01 00:00:00","referral:1","platform:fb","6,538"
"2018-04-01 00:00:00","referral:1","NOT platform:fb","4,814"
"2018-04-02 00:00:00","referral:0","platform:fb","2,095"
"2018-04-02 00:00:00","referral:0","NOT platform:fb","4,292"
"2018-04-02 00:00:00","referral:1","platform:fb","7,638"
"2018-04-02 00:00:00","referral:1","NOT platform:fb","5,603"
"2018-04-03 00:00:00","referral:0","platform:fb","1,543"
"2018-04-03 00:00:00","referral:0","NOT platform:fb","3,804"
"2018-04-03 00:00:00","referral:1","platform:fb","5,739"
"2018-04-03 00:00:00","referral:1","NOT platform:fb","4,066"
"2018-04-04 00:00:00","referral:0","platform:fb","1,631"
"2018-04-04 00:00:00","referral:0","NOT platform:fb","3,856"
"2018-04-04 00:00:00","referral:1","platform:fb","6,163"
"2018-04-04 00:00:00","referral:1","NOT platform:fb","4,627"
"2018-04-05 00:00:00","referral:0","platform:fb","1,307"
"2018-04-05 00:00:00","referral:0","NOT platform:fb","3,397"
"2018-04-05 00:00:00","referral:1","platform:fb","4,585"
"2018-04-05 00:00:00","referral:1","NOT platform:fb","3,535"
"2018-04-06 00:00:00","referral:0","platform:fb","1,202"
"2018-04-06 00:00:00","referral:0","NOT platform:fb","3,206"
"2018-04-06 00:00:00","referral:1","platform:fb","3,827"
"2018-04-06 00:00:00","referral:1","NOT platform:fb","2,981"
"2018-04-07 00:00:00","referral:0","platform:fb","1,255"
"2018-04-07 00:00:00","referral:0","NOT platform:fb","3,576"
"2018-04-07 00:00:00","referral:1","platform:fb","4,884"
"2018-04-07 00:00:00","referral:1","NOT platform:fb","4,022"
"2018-04-08 00:00:00","referral:0","platform:fb","1,429"
"2018-04-08 00:00:00","referral:0","NOT platform:fb","3,753"
"2018-04-08 00:00:00","referral:1","platform:fb","6,131"
"2018-04-08 00:00:00","referral:1","NOT platform:fb","4,787"
"2018-04-09 00:00:00","referral:0","platform:fb","1,354"
"2018-04-09 00:00:00","referral:0","NOT platform:fb","3,503"
"2018-04-09 00:00:00","referral:1","platform:fb","6,110"
"2018-04-09 00:00:00","referral:1","NOT platform:fb","4,493"
"2018-04-10 00:00:00","referral:0","platform:fb",762
"2018-04-10 00:00:00","referral:0","NOT platform:fb","2,720"
"2018-04-10 00:00:00","referral:1","platform:fb","1,403"
"2018-04-10 00:00:00","referral:1","NOT platform:fb","1,746"
"2018-04-11 00:00:00","referral:0","platform:fb",920
"2018-04-11 00:00:00","referral:0","NOT platform:fb","3,037"
"2018-04-11 00:00:00","referral:1","platform:fb","2,465"
"2018-04-11 00:00:00","referral:1","NOT platform:fb","2,225"
"2018-04-12 00:00:00","referral:0","platform:fb","1,150"
"2018-04-12 00:00:00","referral:0","NOT platform:fb","3,194"
"2018-04-12 00:00:00","referral:1","platform:fb","3,953"
"2018-04-12 00:00:00","referral:1","NOT platform:fb","3,147"
"2018-04-13 00:00:00","referral:0","platform:fb","1,156"
"2018-04-13 00:00:00","referral:0","NOT platform:fb","3,178"
"2018-04-13 00:00:00","referral:1","platform:fb","4,251"
"2018-04-13 00:00:00","referral:1","NOT platform:fb","3,512"
"2018-04-14 00:00:00","referral:0","platform:fb","1,261"
"2018-04-14 00:00:00","referral:0","NOT platform:fb","3,463"
"2018-04-14 00:00:00","referral:1","platform:fb","5,153"
"2018-04-14 00:00:00","referral:1","NOT platform:fb","4,189"
"2018-04-15 00:00:00","referral:0","platform:fb","1,646"
"2018-04-15 00:00:00","referral:0","NOT platform:fb","3,885"
"2018-04-15 00:00:00","referral:1","platform:fb","6,095"
"2018-04-15 00:00:00","referral:1","NOT platform:fb","4,884"
"2018-04-16 00:00:00","referral:0","platform:fb","1,558"
"2018-04-16 00:00:00","referral:0","NOT platform:fb","3,667"
"2018-04-16 00:00:00","referral:1","platform:fb","6,330"
"2018-04-16 00:00:00","referral:1","NOT platform:fb","5,112"
"2018-04-17 00:00:00","referral:0","platform:fb","1,991"
"2018-04-17 00:00:00","referral:0","NOT platform:fb","4,686"
"2018-04-17 00:00:00","referral:1","platform:fb","8,435"
"2018-04-17 00:00:00","referral:1","NOT platform:fb","6,694"
"2018-04-18 00:00:00","referral:0","platform:fb","2,165"
"2018-04-18 00:00:00","referral:0","NOT platform:fb","4,573"
"2018-04-18 00:00:00","referral:1","platform:fb","9,324"
"2018-04-18 00:00:00","referral:1","NOT platform:fb","6,996"
"2018-04-19 00:00:00","referral:0","platform:fb","1,479"
"2018-04-19 00:00:00","referral:0","NOT platform:fb","3,616"
"2018-04-19 00:00:00","referral:1","platform:fb","4,405"
"2018-04-19 00:00:00","referral:1","NOT platform:fb","3,696"
"2018-04-20 00:00:00","referral:0","platform:fb","1,816"
"2018-04-20 00:00:00","referral:0","NOT platform:fb","3,673"
"2018-04-20 00:00:00","referral:1","platform:fb","3,661"
"2018-04-20 00:00:00","referral:1","NOT platform:fb","3,312"
"2018-04-21 00:00:00","referral:0","platform:fb","1,134"
"2018-04-21 00:00:00","referral:0","NOT platform:fb","3,345"
"2018-04-21 00:00:00","referral:1","platform:fb","4,265"
"2018-04-21 00:00:00","referral:1","NOT platform:fb","3,869"
"2018-04-22 00:00:00","referral:0","platform:fb","1,368"
