"created per day",filters,filters,Count
"2017-12-22 00:00:00","referral:1","first_app:topfacemobappandroid","5,319"
"2017-12-22 00:00:00","referral:1","first_app:topfacemobappios","2,369"
"2017-12-23 00:00:00","referral:0","first_app:topfacemobappandroid","3,981"
"2017-12-23 00:00:00","referral:0","first_app:topfacemobappios","1,390"
"2017-12-23 00:00:00","referral:1","first_app:topfacemobappandroid","5,421"
"2017-12-23 00:00:00","referral:1","first_app:topfacemobappios","2,193"
"2017-12-24 00:00:00","referral:0","first_app:topfacemobappandroid","4,230"
"2017-12-24 00:00:00","referral:0","first_app:topfacemobappios","1,488"
"2017-12-24 00:00:00","referral:1","first_app:topfacemobappandroid","4,697"
"2017-12-24 00:00:00","referral:1","first_app:topfacemobappios","2,404"
"2017-12-25 00:00:00","referral:0","first_app:topfacemobappandroid","3,956"
"2017-12-25 00:00:00","referral:0","first_app:topfacemobappios","1,309"
"2017-12-25 00:00:00","referral:1","first_app:topfacemobappandroid","4,648"
"2017-12-25 00:00:00","referral:1","first_app:topfacemobappios","1,991"
"2017-12-26 00:00:00","referral:0","first_app:topfacemobappandroid","5,065"
"2017-12-26 00:00:00","referral:0","first_app:topfacemobappios","1,429"
"2017-12-26 00:00:00","referral:1","first_app:topfacemobappandroid","9,359"
"2017-12-26 00:00:00","referral:1","first_app:topfacemobappios","3,753"
"2017-12-27 00:00:00","referral:0","first_app:topfacemobappandroid","5,163"
"2017-12-27 00:00:00","referral:0","first_app:topfacemobappios","1,614"
"2017-12-27 00:00:00","referral:1","first_app:topfacemobappandroid","8,161"
"2017-12-27 00:00:00","referral:1","first_app:topfacemobappios","5,016"
"2017-12-28 00:00:00","referral:0","first_app:topfacemobappandroid","5,509"
"2017-12-28 00:00:00","referral:0","first_app:topfacemobappios","1,969"
"2017-12-28 00:00:00","referral:1","first_app:topfacemobappandroid","7,711"
"2017-12-28 00:00:00","referral:1","first_app:topfacemobappios","8,789"
"2017-12-29 00:00:00","referral:0","first_app:topfacemobappandroid","5,339"
"2017-12-29 00:00:00","referral:0","first_app:topfacemobappios","2,004"
"2017-12-29 00:00:00","referral:1","first_app:topfacemobappandroid","7,805"
"2017-12-29 00:00:00","referral:1","first_app:topfacemobappios","8,249"
"2017-12-30 00:00:00","referral:0","first_app:topfacemobappandroid","5,033"
"2017-12-30 00:00:00","referral:0","first_app:topfacemobappios","1,822"
"2017-12-30 00:00:00","referral:1","first_app:topfacemobappandroid","7,833"
"2017-12-30 00:00:00","referral:1","first_app:topfacemobappios","7,201"
"2017-12-31 00:00:00","referral:0","first_app:topfacemobappandroid","4,273"
"2017-12-31 00:00:00","referral:0","first_app:topfacemobappios","1,676"
"2017-12-31 00:00:00","referral:1","first_app:topfacemobappandroid","7,198"
"2017-12-31 00:00:00","referral:1","first_app:topfacemobappios","7,224"
"2018-01-01 00:00:00","referral:0","first_app:topfacemobappandroid","4,660"
"2018-01-01 00:00:00","referral:0","first_app:topfacemobappios","1,949"
"2018-01-01 00:00:00","referral:1","first_app:topfacemobappandroid","7,488"
"2018-01-01 00:00:00","referral:1","first_app:topfacemobappios","6,362"
"2018-01-02 00:00:00","referral:0","first_app:topfacemobappandroid","5,404"
"2018-01-02 00:00:00","referral:0","first_app:topfacemobappios","2,502"
"2018-01-02 00:00:00","referral:1","first_app:topfacemobappandroid","7,328"
"2018-01-02 00:00:00","referral:1","first_app:topfacemobappios","8,679"
"2018-01-03 00:00:00","referral:0","first_app:topfacemobappandroid","5,973"
"2018-01-03 00:00:00","referral:0","first_app:topfacemobappios","2,537"
"2018-01-03 00:00:00","referral:1","first_app:topfacemobappandroid","6,940"
"2018-01-03 00:00:00","referral:1","first_app:topfacemobappios","7,568"
"2018-01-04 00:00:00","referral:0","first_app:topfacemobappandroid","5,566"
"2018-01-04 00:00:00","referral:0","first_app:topfacemobappios","2,373"
"2018-01-04 00:00:00","referral:1","first_app:topfacemobappandroid","4,903"
"2018-01-04 00:00:00","referral:1","first_app:topfacemobappios","5,019"
"2018-01-05 00:00:00","referral:0","first_app:topfacemobappandroid","5,135"
"2018-01-05 00:00:00","referral:0","first_app:topfacemobappios","2,142"
"2018-01-05 00:00:00","referral:1","first_app:topfacemobappandroid","5,070"
"2018-01-05 00:00:00","referral:1","first_app:topfacemobappios","6,239"
"2018-01-06 00:00:00","referral:0","first_app:topfacemobappandroid","5,049"
"2018-01-06 00:00:00","referral:0","first_app:topfacemobappios","2,101"
"2018-01-06 00:00:00","referral:1","first_app:topfacemobappandroid","5,579"
"2018-01-06 00:00:00","referral:1","first_app:topfacemobappios","5,566"
"2018-01-07 00:00:00","referral:0","first_app:topfacemobappandroid","5,048"
"2018-01-07 00:00:00","referral:0","first_app:topfacemobappios","2,305"
"2018-01-07 00:00:00","referral:1","first_app:topfacemobappandroid","5,362"
"2018-01-07 00:00:00","referral:1","first_app:topfacemobappios","7,021"
"2018-01-08 00:00:00","referral:0","first_app:topfacemobappandroid","5,241"
"2018-01-08 00:00:00","referral:0","first_app:topfacemobappios","2,387"
"2018-01-08 00:00:00","referral:1","first_app:topfacemobappandroid","5,656"
"2018-01-08 00:00:00","referral:1","first_app:topfacemobappios","8,807"
