"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
9485,63,"2018-03-26 07:10:40",117454279,"2018-03-26 07:10:39",1,"2018-03-26 07:17:22",510,165,68,"Деньги от PaymentWall (mobile)",fb,none,HR,topfacemobappandroid,com.topface.topface.buy.sms.vip.day.10
5611,45,"2018-03-16 10:41:16",117169821,"2018-03-16 10:39:47",7,"2018-03-23 12:45:07",308,299,147,"Деньги от Payment Ninja",st,PopularUserChatBlock,RU,topfacemobappandroid,pn.sub.vip.week.3
,,,117272466,"2018-03-20 19:10:40",1,"2018-03-20 19:12:32",2268,1587,146,"Деньги от Google Play",gp,AdToPhotoBlog,CL,topfacemobappandroid,com.topface.topface.sub.coins.month.300.20
9423,63,"2018-03-20 18:03:35",117269989,"2018-03-20 18:03:34",66,"2018-03-21 18:51:37",351,245,19,"Деньги от Google Play",gp,EmptyLikes,MX,topfacemobappandroid,com.topface.topface.coins.40.5
9419,63,"2018-03-18 22:51:07",117221278,"2018-03-18 22:51:06",24,"2018-03-27 10:59:02",100,97,19,"Деньги от Payment Ninja",fb,EmptyLikes,RS,topfacemobappandroid,pn.coins.6.1
,,,117231999,"2018-03-19 09:17:47",1,"2018-03-19 11:20:33",306,297,147,"Деньги от Payment Ninja",st,Visitors,RU,topfacemobappandroid,pn.sub.vip.week.3
9482,63,"2018-03-21 15:36:11",117312178,"2018-03-21 15:36:10",3,"2018-03-22 11:34:04",95,66,146,"Деньги от Google Play",fb,EmptyLikes,BG,topfacemobappandroid,com.topface.topface.sub.coins.month.6.1
9502,63,"2018-03-16 23:31:28",117180270,"2018-03-16 23:31:26",3,"2018-03-17 00:06:18",100,97,19,"Деньги от Payment Ninja",gp,EmptyLikes,IN,topfacemobappandroid,pn.coins.6.1
5611,45,"2018-03-21 21:13:11",117325965,"2018-03-21 21:13:09",3,"2018-03-24 23:13:17",1143,800,147,"Деньги от Google Play",vk,TrialVipPopup,RU,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
597,12,"2018-03-17 13:28:10",117188682,"2018-03-17 13:28:10",3,"2018-03-18 15:35:37",424,296,146,"Деньги от Google Play",fb,EmptyLikes,GB,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
9552,63,"2018-03-17 21:50:53",117196117,"2018-03-17 21:50:49",1,"2018-03-17 22:06:58",100,97,19,"Деньги от Payment Ninja",fb,Menu,PK,topfacemobappandroid,pn.coins.6.1
,,,117206456,"2018-03-18 11:55:31",1,"2018-03-20 21:15:36",306,296,147,"Деньги от Payment Ninja",gp,PopularUserChatBlock,RU,topfacemobappandroid,pn.sub.vip.week.3
9419,63,"2018-03-19 15:19:56",117238246,"2018-03-19 15:19:54",1,"2018-03-19 15:25:02",437,305,146,"Деньги от Google Play",gp,EmptyLikes,RO,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
