"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app","Product Id"
,,,117667621,"2018-04-04 13:33:19",2,"2018-04-25 11:31:35",300,291,67,"Деньги от Payment Ninja",fb,EmptyLikes,UA,topfacemobappandroid,pn.likes.100.3
,,,117610123,"2018-04-02 05:57:18",2,"2018-05-03 04:25:05",999,969,147,"Деньги от Payment Ninja",fb,Dating,CA,topfacemobappandroid,pn.sub.vip.month.10
,,,117578819,"2018-04-01 02:23:49",6,"2018-04-10 01:32:11",500,485,19,"Деньги от Payment Ninja",fb,EmptyLikes,US,topfacemobappandroid,pn.coins.40.5
,,,117590598,"2018-04-01 16:17:41",1,"2018-04-18 10:45:05",999,969,147,"Деньги от Payment Ninja",st,Visitors,KZ,topfacemobappandroid,pn.sub.vip.month.10
597,12,"2018-04-04 22:36:33",117679365,"2018-04-04 22:36:33",4,"2018-04-06 22:46:27",999,969,147,"Деньги от Payment Ninja",st,promo.key31,UA,topfacemobappandroid,pn.sub.vip.month.10
9404,63,"2018-04-07 01:19:14",117615801,"2018-04-02 11:41:46",9,"2018-04-07 01:28:18",500,485,19,"Деньги от Payment Ninja",fb,Gifts,IN,topfacemobappandroid,pn.coins.40.5
9553,63,"2018-03-31 09:11:51",117562607,"2018-03-31 09:11:50",227,"2018-05-04 04:02:14",1013,709,19,"Деньги от Google Play",fb,Gifts,SA,topfacemobappandroid,com.topface.topface.coins.100.10
,,,117562831,"2018-03-31 09:32:58",3,"2018-04-10 09:43:46",980,686,147,"Деньги от Google Play",gp,TrialVipPopup,TR,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
9365,63,"2018-04-01 18:33:13",117594160,"2018-04-01 18:33:11",5,"2018-04-02 19:45:05",499,484,147,"Деньги от Payment Ninja",fb,LeftMenu,EC,topfacemobappandroid,pn..sub.vip.month.5
,,,117594397,"2018-04-01 18:40:08",12,"2018-05-02 17:32:36",170,118,146,"Деньги от Google Play",fb,promo.key31,GE,topfacemobappandroid,com.topface.topface.sub.coins.month.40.5
9553,63,"2018-03-31 09:11:51",117562607,"2018-03-31 09:11:50",141,"2018-04-17 00:06:53",2518,1762,19,"Деньги от Google Play",fb,Menu,SA,topfacemobappandroid,com.topface.topface.coins.300.25
,,,117573279,"2018-03-31 21:08:50",1,"2018-04-11 14:55:05",163,114,67,"Деньги от Google Play",gp,EmptyAdmirations,TR,topfacemobappandroid,com.topface.topface.likes.100.3
9526,63,"2018-04-03 00:16:33",117630588,"2018-04-02 22:16:17",5,"2018-04-05 03:34:08",54,37,19,"Деньги от Google Play",gp,EmptyLikes,TR,topfacemobappandroid,com.topface.topface.coins.6.1
9365,63,"2018-04-01 12:06:43",117585827,"2018-04-01 12:06:42",3,"2018-04-04 14:06:59",1601,1120,147,"Деньги от Google Play",fb,TrialVipPopup,DE,topfacemobappandroid,com.topface.topface.sub.trial.vip.month.13.3daysfree
,,,117594397,"2018-04-01 18:40:08",2,"2018-04-02 02:00:26",388,271,147,"Деньги от Google Play",fb,promo.key31,GE,topfacemobappandroid,com.topface.topface.sub.vip.month.10
